Timestamp,HeartRate
710114.284154773,104.0
710114.284154773,104.0
711104.310554773,104.0
712588.773954773,105.0
712588.773954773,105.0
713578.075054773,105.0
713578.075054773,105.0
714073.606354773,106.0
714073.606354773,106.0
715063.828054773,107.0
716054.478154773,107.0
716054.478154773,107.0
717043.325554773,106.0
717043.325554773,106.0
718035.485854773,105.0
719023.607454773,103.0
719023.607454773,103.0
720013.339254773,101.0
720013.339254773,101.0
721497.890554773,101.0
722983.393154773,101.0
722983.393154773,101.0
722983.393154773,102.0
722983.393154773,102.0
722983.393154773,102.0
723973.207554773,103.0
725458.281654773,104.0
726448.309354773,104.0
726943.263854773,103.0
727933.616754773,94.0
727933.616754773,94.0
728925.051054773,87.0
729913.457754773,85.0
730904.158754773,82.0
730904.158754773,82.0
731892.913654773,82.0
732882.940054773,82.0
733872.777854773,82.0
733872.777854773,82.0
734863.993354773,83.0
736348.663654773,83.0
736843.602654773,82.0
736843.602654773,82.0
737833.984754773,81.0
738824.102554773,81.0
738824.102554773,81.0
739814.382254773,82.0
740803.732954773,83.0
740803.732954773,83.0
741793.437654773,84.0
742784.238654773,91.0
742784.238654773,91.0
743772.406654773,93.0
744763.609254773,97.0
744763.609254773,97.0
745753.895854773,98.0
746743.439054773,98.0
746743.439054773,98.0
747733.110754773,96.0
749217.737954773,95.0
749217.737954773,95.0
750210.072254773,94.0
750210.072254773,94.0
751198.463354773,95.0
752684.057954773,96.0
753673.023954773,95.0
754167.811454773,93.0
755158.134154773,85.0
755158.134154773,85.0
756148.219554773,83.0
757138.814554773,82.0
758128.408454773,81.0
759612.952754773,80.0
760108.578854773,78.0
760108.578854773,78.0
761098.109954773,78.0
762089.197754773,78.0
762089.197754773,78.0
763078.222854773,79.0
763078.222854773,79.0
764067.870954773,80.0
765058.473854773,83.0
765058.473854773,83.0
766049.213054773,87.0
766049.213054773,87.0
767038.492954773,89.0
769018.443554773,92.0
769018.443554773,92.0
769018.443554773,94.0
770504.139154773,94.0
771493.386954773,93.0
771493.386954773,93.0
771988.626154773,92.0
773967.890054773,90.0
773968.885754773,86.0
773968.885754773,86.0
774958.641354773,85.0
775948.421754773,84.0
776938.116954773,83.0
776938.116954773,83.0
777928.960954773,83.0
778918.222154773,84.0
778918.222154773,84.0
779908.021954773,87.0
779908.021954773,87.0
781888.543354773,88.0
782383.019154773,90.0
782383.019154773,90.0
783372.688054773,90.0
783868.230654773,92.0
783868.230654773,92.0
784858.454354773,92.0
785848.738654773,91.0
785848.738654773,91.0
787333.304554773,90.0
787828.544354773,90.0
787828.544354773,90.0
788818.867054773,91.0
788818.867054773,91.0
789809.045054773,93.0
790798.519354773,95.0
790798.519354773,95.0
791789.013354773,96.0
791789.013354773,96.0
792777.893054773,97.0
793769.007954773,98.0
793769.007954773,98.0
794758.174154773,98.0
795748.188654773,99.0
795748.188654773,99.0
796738.513654773,99.0
798222.577154773,96.0
798222.577154773,96.0
799707.839754773,94.0
800202.934954773,92.0
801193.285354773,89.0
801193.285354773,89.0
802182.881354773,88.0
803172.783054773,88.0
803172.783054773,88.0
804163.597854773,87.0
805153.118454773,87.0
805153.118454773,87.0
806144.659854773,88.0
807628.416854773,87.0
807628.416854773,87.0
808123.747554773,87.0
809112.666954773,87.0
809112.666954773,87.0
810104.010754773,87.0
811092.745754773,88.0
811092.745754773,88.0
812083.089654773,88.0
813073.566054773,90.0
813073.566054773,90.0
814071.605554773,90.0
815054.170354773,91.0
815054.170354773,91.0
816043.467554773,91.0
818023.103654773,90.0
818023.103654773,90.0
818024.122154773,91.0
818024.122154773,91.0
819013.951554773,92.0
820002.969154773,94.0
820002.969154773,94.0
820993.091654773,96.0
820993.091654773,96.0
821982.426354773,97.0
822973.063054773,98.0
822973.063054773,98.0
823964.023054773,98.0
824953.468854773,98.0
825943.073954773,98.0
825943.073954773,98.0
826933.529654773,97.0
826933.529654773,97.0
827923.355154773,97.0
827923.355154773,97.0
828913.239354773,99.0
829903.044954773,103.0
829903.044954773,103.0
829903.044954773,103.0
830892.845454773,104.0
831882.792354773,105.0
831882.792354773,105.0
832872.788154773,106.0
832872.788154773,106.0
833862.734254773,107.0
833862.734254773,107.0
834854.053554773,108.0
834854.053554773,108.0
835844.048554773,111.0
835844.048554773,111.0
836834.370054773,113.0
836834.370054773,113.0
837823.432754773,114.0
838813.263354773,114.0
838813.263354773,114.0
839802.808554773,113.0
839802.808554773,113.0
841290.088554773,110.0
841290.088554773,110.0
842278.112554773,110.0
843267.846654773,108.0
843267.846654773,108.0
844257.836854773,107.0
844257.836854773,107.0
844753.297154773,105.0
844753.297154773,105.0
845743.655054773,105.0
847228.649654773,104.0
847228.649654773,104.0
849208.768754773,105.0
849208.768754773,105.0
849208.768754773,104.0
850693.051254773,103.0
850693.051254773,103.0
851188.064454773,103.0
853663.621654773,103.0
853663.621654773,103.0
853664.622054773,102.0
855643.616554773,96.0
855643.616554773,96.0
857127.645054773,93.0
857127.645054773,93.0
857128.650054773,93.0
866764.091954773,87.0
867798.014454773,86.0
868742.967054773,84.0
868742.967054773,84.0
869777.506054773,84.0
870769.027854773,83.0
870769.027854773,83.0
871759.425654773,83.0
872749.146354773,84.0
872749.146354773,84.0
873739.000754773,84.0
874728.000354773,85.0
875763.331654773,85.0
875763.331654773,85.0
876753.601754773,85.0
877742.764454773,85.0
878733.684154773,84.0
878733.684154773,84.0
879813.419454773,84.0
880758.223554773,84.0
880758.223554773,84.0
881748.267754773,84.0
882783.645354773,84.0
883773.306554773,83.0
884763.084354773,83.0
885753.286554773,81.0
886744.703154773,79.0
886744.703154773,79.0
887823.218354773,78.0
888812.623154773,78.0
889757.843254773,77.0
890747.948854773,76.0
891782.825054773,76.0
892727.613954773,75.0
893762.812954773,73.0
894798.826354773,72.0
897223.400554773,71.0
897223.400554773,71.0
898213.931654773,69.0
898213.931654773,69.0
899202.527454773,69.0
900193.295654773,69.0
901183.343654773,68.0
902172.875354773,68.0
903657.970954773,67.0
904152.535254773,67.0
905142.929254773,66.0
906133.601054773,66.0
906133.601054773,66.0
907122.737654773,67.0
908113.366454773,67.0
909103.889654773,68.0
910093.071354773,69.0
911082.658154773,70.0
912073.066654773,70.0
913062.515754773,69.0
914053.315254773,68.0
916033.352554773,68.0
916033.352554773,67.0
917023.306354773,67.0
918013.349154773,67.0
919003.706554773,66.0
919993.335654773,66.0
920983.425054773,66.0
921972.613454773,65.0
923458.251554773,65.0
923953.075954773,64.0
924943.062754773,64.0
924943.062754773,64.0
925932.481254773,63.0
926923.331654773,63.0
928407.535554773,64.0
928904.287854773,64.0
929892.620554773,65.0
930883.241254773,65.0
931873.002154773,65.0
931873.002154773,65.0
932863.507854773,65.0
933852.819254773,65.0
934842.779654773,66.0
935833.342854773,67.0
936823.304254773,66.0
937812.558854773,66.0
938802.711954773,66.0
939793.223354773,65.0
940783.077754773,66.0
942762.719054773,66.0
942763.676954773,66.0
943753.304354773,65.0
944743.378754773,65.0
945733.268754773,65.0
947218.578954773,65.0
948208.182554773,65.0
949693.119154773,64.0
949693.119154773,64.0
950188.325754773,64.0
951177.368754773,64.0
952168.300354773,64.0
